"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Dez/15";"Nov/15";"Out/15";"Set/15";"Ago/15";"Jul/15";"Jun/15";"Mai/15";"Abr/15";"Mar/15";"Fev/15";"Jan/15";"Competência";"Data de atualização"
"UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA (300195)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"BUCAL HELP ASSISTENCIA ODONTOLOGICA LTDA. (414794)";"Odontológica";"Médio";"15";"";"0,00";"";"";"";"0,00";"0,00";"   0,34";"   0,32";"   0,90";"   0,58";"   0,57";"0,00";"201501";"22/01/2016 16:40:10"
"ORAL BRASIL CONSULTORIA E GESTÃO EM SAÚDE LTDA (413127)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ASSOCIAÇÃO SERVIÇOS ODONTOLÓGICOS DA INDÚSTRIA DE MINAS GERAIS - ODONTOINDUSTRIA (417220)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"   0,19";"   0,20";"   0,20";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DO SUL GOIANO COOPERATIVA ODONTOLOGICA (358339)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"SORRISO OPERADORA ODONTOLÓGICA LTDA (416631)";"Odontológica";"Médio";"15";"12";"0,00";"   0,30";"   0,59";"   0,57";"   0,28";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ODONTOART PLANOS ODONTOLÓGICOS LTDA (414387)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,31";"   0,33";"   0,73";"   0,39";"   0,43";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE SC COOPERATIVA ADMINISTRADORAS DE CONTRATOS (342203)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,16";"   0,16";"   0,16";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"LIS DENTAL LTDA (417971)";"Odontológica";"Médio";"15";"5";"0,00";"   0,63";"   0,30";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE JOÃO PESSOA COOPERATIVA ODONTOLÓGICA (361569)";"Odontológica";"Médio";"15";"11";"0,00";"   0,38";"   0,38";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIODONTO PIRACICABA - COOPERATIVA ODONTOLÓGICA (346004)";"Odontológica";"Médio";"15";"21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"PLANO DE ASSISTÊNCIA ODONTOLÓGICA FAUCHARD LTDA. ME (417106)";"Odontológica";"Médio";"15";"6";"0,00";"   0,53";"   0,27";"   0,27";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"REDE DENTAL OPERADORA DE PLANOS ODONTOLÓGICOS LTDA (412350)";"Odontológica";"Médio";"15";"10";"0,00";"   0,39";"   0,38";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"SÓ ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA (416878)";"Odontológica";"Pequeno";"1";"11";"  15,62";"0,00";"0,00";"0,00";"0,00";"   8,59";"   8,59";"   8,59";"0,00";"   8,59";"  16,39";"  15,62";"201501";"22/01/2016 16:40:10"
"CONSTRUDENTE ASSISTENCIA ODONTOLOGICA LTDA (405931)";"Odontológica";"Pequeno";"2";"11";"  11,76";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"  11,76";"201501";"22/01/2016 16:40:10"
"UNIODONTO-NORDESTE, CENTRAL REGIONAL DAS COOP. ODONT. DO NORD. DO BRASIL (416177)";"Odontológica";"Pequeno";"3";"11";"   8,82";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   8,82";"201501";"22/01/2016 16:40:10"
"UNIODONTO DE BRAGANÇA PAULISTA COOP DE TRABALHO ODONTOLÓGICO (306193)";"Odontológica";"Pequeno";"4";"11";"   2,95";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,14";"   2,95";"201501";"22/01/2016 16:40:10"
"SANTA LUZIA ASSISTENCIA MEDICA S.A. (358509)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"   1,72";"   6,85";"   8,52";"   6,84";"   1,71";"   1,71";"   3,41";"   3,43";"   1,72";"0,00";"201501";"22/01/2016 16:40:10"
"DANA INDUSTRIAS LTDA. (416118)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA (408263)";"Médico Hospitalar";"Pequeno";"184";"69";"0,00";"   4,52";"   9,03";"   9,00";"   8,96";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"EXTREMAMEDIC PLANOS DE SAÚDE LTDA (411868)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,70";"   1,73";"   1,73";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIMED MURIAÉ COOPERATIVA DE TRABALHO MEDICO LTDA (368148)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"   1,87";"   2,78";"   2,77";"   1,83";"   0,91";"   0,90";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO (327352)";"Médico Hospitalar";"Pequeno";"184";"90";"0,00";"   3,30";"   3,30";"   3,30";"   3,30";"   1,65";"   3,30";"   1,65";"   1,65";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU (414026)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"BENEFICENCIA NIPO-BRASILEIRA DA AMAZONIA (384054)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ASSOCIAÇÃO METROPOLITANA DE ASSISTÊNCIA À SAÚDE (418854)";"Médico Hospitalar";"Pequeno";"184";"48";"0,00";"   7,93";"   3,37";"   3,36";"   2,79";"   4,47";"   3,37";"   2,27";"   0,56";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"MASSA FALIDA DE ASSIMEDE ASSISTÊNCIA MÉDICA ESPECIALIZADA LTDA. (301906)";"Médico Hospitalar";"Pequeno";"184";"";"0,00";"";"";"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"SERDIL- SERVIÇO ESPECIALIZADO EM RADIODIAGNÓSTICO LTDA. (415006)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"IRMANDADE DA SANTA CASA DE MISERICORDIA DE BIRIGUI (314102)";"Médico Hospitalar";"Pequeno";"184";"115";"0,00";"   2,03";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,77";"   0,78";"   0,79";"0,00";"201501";"22/01/2016 16:40:10"
"UNIMED ALTO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO (348261)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,67";"   0,67";"   0,67";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"FUNDAÇÃO PLAMHUV - PLANO MÉDICO HOSPITALAR DOS HOSPITAIS UNIDOS DE VIÇOSA (418501)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"   1,83";"   3,63";"   3,62";"   1,82";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA (335754)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"P.W HIDROPNEUMÁTICA LTDA (331635)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"PLANO ASSISTENCIAL SÃO LUCAS LTDA (363391)";"Médico Hospitalar";"Pequeno";"184";"68";"0,00";"   4,55";"   6,86";"   9,22";"   6,99";"   4,73";"0,00";"   2,45";"   2,48";"   2,50";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO (340251)";"Médico Hospitalar";"Pequeno";"184";"151";"0,00";"   1,14";"   1,16";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC (384704)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"PLANO DE ASSISTÊNCIA MÉDICA MINEIRA LTDA (382281)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"UNIMED ALEM PARAIBA COOPERATIVA DE TRABALHO MEDICO LTDA (313955)";"Médico Hospitalar";"Pequeno";"184";"91";"0,00";"   3,15";"   3,16";"   3,18";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"HOSPITAL S.P. LTDA. (363189)";"Médico Hospitalar";"Pequeno";"184";"194";"0,00";"0,00";"0,00";"0,00";"   3,66";"   3,68";"   3,67";"0,00";"0,00";"0,00";"0,00";"0,00";"201501";"22/01/2016 16:40:10"
"MASSA FALIDA LAM OPERADORA DE PLANOS DE SAUDE LTDA. (360961)";"Médico Hospitalar";"X";"1";"";" 135,75";"";"";"";"";"";"";"";"";"";"";" 135,75";"201501";"22/01/2016 16:40:10"
"REUNIDAS OPERADORA DE PLANOS DE SAÚDE LTDA. (411281)";"Médico Hospitalar";"X";"2";"";"  13,39";"";"";"";"";"";"";"";"";"";"";"  13,39";"201501";"22/01/2016 16:40:10"
"CAM- OPERADORA DE PLANOS DE SAUDE LTDA. (406589)";"Médico Hospitalar";"X";"3";"";"   4,12";"";"";"";"";"";"";"";"";"";"";"   4,12";"201501";"22/01/2016 16:40:10"
"PLADISA - PLANO DIVINO DE SAÚDE (417653)";"Médico Hospitalar";"X";"4";"";"0,00";"";"";"";"";"";"";"";"";"";"";"0,00";"201501";"22/01/2016 16:40:10"
"PRODENT - ASSISTÊNCIA ODONTOLÓGICA LTDA. (380041)";"Odontológica";"Grande";"1";"2";"   0,52";"   0,47";"   0,51";"   0,56";"   0,67";"   0,70";"   0,80";"   0,79";"   0,69";"   0,56";"   0,43";"   0,52";"201501";"22/01/2016 16:40:10"
"ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA. (310981)";"Odontológica";"Grande";"2";"4";"   0,39";"   0,23";"   0,27";"   0,24";"   0,25";"   0,25";"   0,33";"   0,30";"   0,27";"   0,24";"   0,24";"   0,39";"201501";"22/01/2016 16:40:10"
"UNIMED SAÚDE E ODONTO S.A (416801)";"Odontológica";"Grande";"3";"8";"   0,36";"   0,18";"   0,29";"   0,22";"   0,18";"   0,21";"   0,17";"   0,34";"   0,28";"   0,31";"   0,25";"   0,36";"201501";"22/01/2016 16:40:10"
