"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Fev/20";"Jan/20";"Dez/19";"Nov/19";"Out/19";"Set/19";"Ago/19";"Jul/19";"Jun/19";"Mai/19";"Abr/19";"Mar/19";"Competência";"Data de atualização"
"ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL (314668)";"Médico Hospitalar";"Médio";"205";"207";"   0,27";"   0,27";"0,00";"0,00";"0,00";"   0,27";"   0,27";"   0,26";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ADVANCE PLANOS DE SAÚDE LTDA (335657)";"Médico Hospitalar";"Pequeno";"48";"77";"   7,11";"   3,54";"   7,03";"   3,50";"  10,41";"   6,89";"  17,08";"  10,16";"  23,55";"  13,37";"  19,91";"   6,59";"202002";"26/03/2020 09:14:21"
"AGEMED SAÚDE S.A. (339601)";"Médico Hospitalar";"Médio";"2";"2";" 139,85";" 166,59";" 244,39";" 213,50";" 141,36";"  55,96";"  33,36";"  28,38";"  29,39";"  28,87";"  25,42";"  18,93";"202002";"26/03/2020 09:14:21"
"AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL (368920)";"Médico Hospitalar";"Pequeno";"181";"182";"0,00";"   0,64";"   0,64";"   0,64";"0,00";"   0,64";"   0,64";"   1,27";"   2,53";"   2,53";"   1,89";"0,00";"202002";"26/03/2020 09:14:21"
"ALCANCE SAÚDE LTDA. (416975)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ALLIANZ SAÚDE S/A (000515)";"Médico Hospitalar";"Médio";"48";"54";"   4,18";"   4,55";"   6,88";"   7,65";"   8,69";"   8,37";"   7,36";"   7,08";"   5,39";"   6,32";"   9,82";"  10,98";"202002";"26/03/2020 09:14:21"
"ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS (344800)";"Médico Hospitalar";"Médio";"25";"32";"   6,93";"   5,68";"   4,45";"   4,35";"   5,10";"   6,17";"   6,45";"   5,46";"   4,59";"   3,89";"   4,62";"   4,59";"202002";"26/03/2020 09:14:21"
"AMAZONAS DISTRIBUIDORA DE ENERGIA S/A (416894)";"Médico Hospitalar";"Pequeno";"181";"195";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"AMAZÔNIA PLANOS DE SAÚDE LTDA (419052)";"Médico Hospitalar";"Pequeno";"181";"149";"0,00";"   1,17";"   1,19";"   2,43";"   2,48";"   3,76";"   2,53";"   1,27";"0,00";"   1,30";"   3,91";"   3,93";"202002";"26/03/2020 09:14:21"
"AME PLANOS DE SAÚDE LTDA (401196)";"Médico Hospitalar";"Médio";"5";"10";"  14,06";"  11,97";"   9,37";"   9,45";"  12,32";"  11,11";"   8,94";"   7,15";"   7,73";"   7,83";"   7,46";"   6,03";"202002";"26/03/2020 09:14:21"
